,ID,shortedPath,subgenres,Genre,TimesPlayed_Global,liked,artist,song,song_name,cover_link
48,49,/tracks/ROCK/Elton_John/Elton John - Sacrifice.mp3,3,ROCK,0,0,Elton John,Elton John - Sacrifice.mp3,Sacrifice,https://lastfm.freetls.fastly.net/i/u/300x300/94d2fe1c0df8d84e7296e6133a5812d9.png
49,50,/tracks/ROCK/Elton_John/Elton John - I'm Still Standing.mp3,1,ROCK,0,0,Elton John,Elton John - I'm Still Standing.mp3,I'm Still Standing,https://lastfm.freetls.fastly.net/i/u/300x300/94d2fe1c0df8d84e7296e6133a5812d9.png
50,51,"/tracks/ROCK/Elton_John/Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Official Video).mp3",4,ROCK,0,0,Elton John,"Elton John, Dua Lipa - Cold Heart (PNAU Remix) (Official Video).mp3",Cold Heart  (PNAU Remix),https://lastfm.freetls.fastly.net/i/u/300x300/93eae1856be2a5f5ac899ff93b4ffba2.png
51,52,/tracks/ROCK/Arctic_Monkeys/Arctic Monkeys - Do I Wanna Know_ (Official Video).mp3,3,ROCK,0,0,Arctic Monkeys,Arctic Monkeys - Do I Wanna Know_ (Official Video).mp3,Do I Wanna Know,https://lastfm.freetls.fastly.net/i/u/300x300/f579e414e20f40969185e41182d72472.png
52,53,/tracks/ROCK/Arctic_Monkeys/Why'd You Only Call Me When You're High_.mp3,1,ROCK,0,0,Arctic Monkeys,Why'd You Only Call Me When You're High_.mp3,Why'd You Only Call Me When You're High,https://lastfm.freetls.fastly.net/i/u/300x300/dec64b7a6bb095af724803ca19c7456e.png
53,54,/tracks/ROCK/Arctic_Monkeys/I Wanna Be Yours.mp3,3,ROCK,0,0,Arctic Monkeys,I Wanna Be Yours.mp3,I Wanna Be Yours,https://lastfm.freetls.fastly.net/i/u/300x300/f579e414e20f40969185e41182d72472.png
54,55,/tracks/ROCK/Dave_Grohl/Dave Grohl - Play (Official Video).mp3,3,ROCK,0,0,Dave Grohl,Dave Grohl - Play (Official Video).mp3,Play,https://lastfm.freetls.fastly.net/i/u/300x300/a137b06a8f7ae9a03fb520213266d9da.png
55,56,"/tracks/ROCK/Dave_Grohl/Dave Grohl- Smells Like Teen Spirit, Dave drumming live, Nirvana recording @the Ford LA Oct 13, 2021.mp3",1,ROCK,0,0,Nirvana,"Dave Grohl- Smells Like Teen Spirit, Dave drumming live, Nirvana recording @the Ford LA Oct 13, 2021.mp3",Smells Like Teen Spirit,https://lastfm.freetls.fastly.net/i/u/300x300/570021b68d3d9d2db08bc99a473303b0.png
56,57,/tracks/ROCK/Dave_Grohl/Foo Fighters' Dave Grohl vs Animal - The Muppets.mp3,0,ROCK,0,0,Dave Grohl,Foo Fighters' Dave Grohl vs Animal - The Muppets.mp3,The Muppets,https://lastfm.freetls.fastly.net/i/u/300x300/570021b68d3d9d2db08bc99a473303b0.png
57,58,/tracks/ROCK/Alt-J/alt-J (â) Breezeblocks.mp3,3,ROCK,0,0,Alt-J,alt-J (â) Breezeblocks.mp3,Breezeblocks,https://lastfm.freetls.fastly.net/i/u/300x300/a701bd388c95415ac140405686cdd0af.png
58,59,/tracks/ROCK/Alt-J/Alt-J (â) - Matilda.mp3,4,ROCK,0,0,Alt-J,Alt-J (â) - Matilda.mp3,Matilda,https://lastfm.freetls.fastly.net/i/u/300x300/a701bd388c95415ac140405686cdd0af.png
59,60,/tracks/ROCK/Alt-J/alt-J (â) - Fitzpleasure (Official Music Video).mp3,0,ROCK,0,0,Alt-J,alt-J (â) - Fitzpleasure (Official Music Video).mp3,Fitzpleasure,https://lastfm.freetls.fastly.net/i/u/300x300/a701bd388c95415ac140405686cdd0af.png
60,61,/tracks/ROCK/The_Strokes/The Strokes - Last Nite (Official HD Video).mp3,1,ROCK,0,0,The Strokes,The Strokes - Last Nite (Official HD Video).mp3,Last Nite,https://lastfm.freetls.fastly.net/i/u/300x300/80f256e56b1043cdbb99da3ac4dd69a0.png
61,62,/tracks/ROCK/The_Strokes/The Strokes - Someday (Official HD Video).mp3,1,ROCK,0,0,The Strokes,The Strokes - Someday (Official HD Video).mp3,Someday,https://lastfm.freetls.fastly.net/i/u/300x300/80f256e56b1043cdbb99da3ac4dd69a0.png
62,63,/tracks/ROCK/The_Strokes/The Strokes - Reptilia (Official HD Video).mp3,1,ROCK,0,0,The Strokes,The Strokes - Reptilia (Official HD Video).mp3,Reptilia,https://lastfm.freetls.fastly.net/i/u/300x300/a9c961c8da0d4427b7d7a4018738f5df.png
63,64,/tracks/ROCK/Queen/Queen - Don't Stop Me Now (Official Video).mp3,2,ROCK,0,0,Queen,Queen - Don't Stop Me Now (Official Video).mp3,Don't Stop Me Now,https://lastfm.freetls.fastly.net/i/u/300x300/1aec5cac8403fbda275b8200b77c8318.png
64,65,/tracks/ROCK/Queen/Queen - Another One Bites the Dust (Official Video).mp3,4,ROCK,0,0,Queen,Queen - Another One Bites the Dust (Official Video).mp3,Another One Bites the Dust,https://lastfm.freetls.fastly.net/i/u/300x300/1aec5cac8403fbda275b8200b77c8318.png
65,66,/tracks/ROCK/Queen/Queen - We Will Rock You (Official Video).mp3,4,ROCK,0,0,Queen,Queen - We Will Rock You (Official Video).mp3,We Will Rock You,https://lastfm.freetls.fastly.net/i/u/300x300/1aec5cac8403fbda275b8200b77c8318.png
66,67,/tracks/ELECTRONIC/Disclosure/Disclosure feat. London Grammar - Help Me Lose My Mind (lyrics) Music Video.mp3,3,ELECTRONIC,0,0,Disclosure,Disclosure feat. London Grammar - Help Me Lose My Mind (lyrics) Music Video.mp3,Help Me Lose My Mind,https://lastfm.freetls.fastly.net/i/u/300x300/d6c11048f1da4335b72d712c23f8c3f6.png
67,68,/tracks/ELECTRONIC/Disclosure/Disclosure - You & Me (Flume Remix) [Official Video].mp3,2,ELECTRONIC,0,0,Disclosure,Disclosure - You & Me (Flume Remix) [Official Video].mp3,You & Me,https://lastfm.freetls.fastly.net/i/u/770x0/4e8b604e13de4b8ca06607e8116c47bc.jpg
